# Renewables.ninja Solar PV (Point API) - 35.702, 51.351 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Tehran, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Tehran", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "35.7019", "lon": "51.3514", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "12", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 03:30,0,0,0,-3.133
2019-01-01 01:00,2019-01-01 04:30,0,0,0,-3.533
2019-01-01 02:00,2019-01-01 05:30,0,0,0,-3.892
2019-01-01 03:00,2019-01-01 06:30,0.001,0.004,0.002,-4.322
2019-01-01 04:00,2019-01-01 07:30,3.515,0.277,0.034,-2.891
2019-01-01 05:00,2019-01-01 08:30,6.719,0.569,0.046,0.659
2019-01-01 06:00,2019-01-01 09:30,8.657,0.776,0.053,3.278
2019-01-01 07:00,2019-01-01 10:30,9.704,0.899,0.058,4.997
2019-01-01 08:00,2019-01-01 11:30,9.985,0.935,0.063,5.932
2019-01-01 09:00,2019-01-01 12:30,9.028,0.810,0.075,6.341
2019-01-01 10:00,2019-01-01 13:30,7.078,0.578,0.092,6.253
2019-01-01 11:00,2019-01-01 14:30,4.639,0.333,0.094,5.692
2019-01-01 12:00,2019-01-01 15:30,1.588,0.092,0.061,3.908
2019-01-01 13:00,2019-01-01 16:30,0.026,0.005,0.005,1.328
2019-01-01 14:00,2019-01-01 17:30,0,0,0,0.337
2019-01-01 15:00,2019-01-01 18:30,0,0,0,-0.387
2019-01-01 16:00,2019-01-01 19:30,0,0,0,-1.060
2019-01-01 17:00,2019-01-01 20:30,0,0,0,-1.589
2019-01-01 18:00,2019-01-01 21:30,0,0,0,-1.894
2019-01-01 19:00,2019-01-01 22:30,0,0,0,-1.977
2019-01-01 20:00,2019-01-01 23:30,0,0,0,-1.984
2019-01-01 21:00,2019-01-02 00:30,0,0,0,-2.020
2019-01-01 22:00,2019-01-02 01:30,0,0,0,-1.953
2019-01-01 23:00,2019-01-02 02:30,0,0,0,-2.067
2019-01-02 00:00,2019-01-02 03:30,0,0,0,-2.229
2019-01-02 01:00,2019-01-02 04:30,0,0,0,-2.276
2019-01-02 02:00,2019-01-02 05:30,0,0,0,-2.424
2019-01-02 03:00,2019-01-02 06:30,0,0.003,0.002,-2.926
2019-01-02 04:00,2019-01-02 07:30,3.057,0.232,0.042,-2.133
2019-01-02 05:00,2019-01-02 08:30,5.544,0.432,0.070,1.446
2019-01-02 06:00,2019-01-02 09:30,6.758,0.530,0.099,3.782
2019-01-02 07:00,2019-01-02 10:30,8.027,0.661,0.104,4.876
2019-01-02 08:00,2019-01-02 11:30,8.763,0.752,0.098,5.448
2019-01-02 09:00,2019-01-02 12:30,8.424,0.715,0.098,5.631
2019-01-02 10:00,2019-01-02 13:30,6.802,0.532,0.106,5.468
2019-01-02 11:00,2019-01-02 14:30,4.272,0.287,0.105,4.924
2019-01-02 12:00,2019-01-02 15:30,1.558,0.086,0.064,3.712
2019-01-02 13:00,2019-01-02 16:30,0.015,0.003,0.005,1.741
2019-01-02 14:00,2019-01-02 17:30,0,0,0,1.332
2019-01-02 15:00,2019-01-02 18:30,0,0,0,1.133
2019-01-02 16:00,2019-01-02 19:30,0,0,0,0.871
2019-01-02 17:00,2019-01-02 20:30,0,0,0,0.559
2019-01-02 18:00,2019-01-02 21:30,0,0,0,0.258
2019-01-02 19:00,2019-01-02 22:30,0,0,0,0.295
2019-01-02 20:00,2019-01-02 23:30,0,0,0,0.451
2019-01-02 21:00,2019-01-03 00:30,0,0,0,0.250
2019-01-02 22:00,2019-01-03 01:30,0,0,0,-0.346
2019-01-02 23:00,2019-01-03 02:30,0,0,0,-0.865
2019-01-03 00:00,2019-01-03 03:30,0,0,0,-0.972
2019-01-03 01:00,2019-01-03 04:30,0,0,0,-0.696
2019-01-03 02:00,2019-01-03 05:30,0,0,0,-0.537
2019-01-03 03:00,2019-01-03 06:30,0,0,0.001,-0.779
2019-01-03 04:00,2019-01-03 07:30,0.968,0.041,0.057,0.672
2019-01-03 05:00,2019-01-03 08:30,2.918,0.134,0.133,3.022
2019-01-03 06:00,2019-01-03 09:30,2.514,0.064,0.169,3.357
2019-01-03 07:00,2019-01-03 10:30,3.474,0.098,0.220,3.902
2019-01-03 08:00,2019-01-03 11:30,2.241,0.029,0.179,2.527
2019-01-03 09:00,2019-01-03 12:30,1.882,0.020,0.157,2.162
2019-01-03 10:00,2019-01-03 13:30,1.502,0.016,0.129,2.033
2019-01-03 11:00,2019-01-03 14:30,1.396,0.023,0.113,2.085
2019-01-03 12:00,2019-01-03 15:30,0.694,0.017,0.058,1.916
2019-01-03 13:00,2019-01-03 16:30,0.009,0.002,0.005,0.434
2019-01-03 14:00,2019-01-03 17:30,0,0,0,-0.637
2019-01-03 15:00,2019-01-03 18:30,0,0,0,-1.461
2019-01-03 16:00,2019-01-03 19:30,0,0,0,-1.749
2019-01-03 17:00,2019-01-03 20:30,0,0,0,-2.334
2019-01-03 18:00,2019-01-03 21:30,0,0,0,-3.019
2019-01-03 19:00,2019-01-03 22:30,0,0,0,-3.809
2019-01-03 20:00,2019-01-03 23:30,0,0,0,-4.375
2019-01-03 21:00,2019-01-04 00:30,0,0,0,-4.623
2019-01-03 22:00,2019-01-04 01:30,0,0,0,-4.709
2019-01-03 23:00,2019-01-04 02:30,0,0,0,-5.110
2019-01-04 00:00,2019-01-04 03:30,0,0,0,-5.641
2019-01-04 01:00,2019-01-04 04:30,0,0,0,-5.858
2019-01-04 02:00,2019-01-04 05:30,0,0,0,-5.723
2019-01-04 03:00,2019-01-04 06:30,0.008,0.005,0.002,-5.831
2019-01-04 04:00,2019-01-04 07:30,3.732,0.296,0.032,-3.839
2019-01-04 05:00,2019-01-04 08:30,6.811,0.579,0.043,-0.081
2019-01-04 06:00,2019-01-04 09:30,8.761,0.790,0.049,3.071
2019-01-04 07:00,2019-01-04 10:30,9.813,0.919,0.053,5.232
2019-01-04 08:00,2019-01-04 11:30,10.145,0.966,0.055,6.565
2019-01-04 09:00,2019-01-04 12:30,9.791,0.927,0.054,7.164
2019-01-04 10:00,2019-01-04 13:30,8.717,0.803,0.050,7.280
2019-01-04 11:00,2019-01-04 14:30,6.825,0.601,0.044,6.856
2019-01-04 12:00,2019-01-04 15:30,3.872,0.319,0.035,4.614
2019-01-04 13:00,2019-01-04 16:30,0.151,0.019,0.005,0.833
2019-01-04 14:00,2019-01-04 17:30,0,0,0,-0.617
2019-01-04 15:00,2019-01-04 18:30,0,0,0,-1.222
2019-01-04 16:00,2019-01-04 19:30,0,0,0,-1.476
2019-01-04 17:00,2019-01-04 20:30,0,0,0,-1.460
2019-01-04 18:00,2019-01-04 21:30,0,0,0,-1.435
2019-01-04 19:00,2019-01-04 22:30,0,0,0,-1.604
2019-01-04 20:00,2019-01-04 23:30,0,0,0,-1.907
2019-01-04 21:00,2019-01-05 00:30,0,0,0,-2.163
2019-01-04 22:00,2019-01-05 01:30,0,0,0,-2.254
2019-01-04 23:00,2019-01-05 02:30,0,0,0,-2.137
2019-01-05 00:00,2019-01-05 03:30,0,0,0,-2.217
2019-01-05 01:00,2019-01-05 04:30,0,0,0,-2.273
2019-01-05 02:00,2019-01-05 05:30,0,0,0,-1.861
2019-01-05 03:00,2019-01-05 06:30,0,0.002,0.002,-1.324
2019-01-05 04:00,2019-01-05 07:30,1.639,0.102,0.053,0.273
2019-01-05 05:00,2019-01-05 08:30,4.754,0.346,0.087,3.231
2019-01-05 06:00,2019-01-05 09:30,7.077,0.579,0.090,6.029
2019-01-05 07:00,2019-01-05 10:30,9.265,0.854,0.069,8.251
2019-01-05 08:00,2019-01-05 11:30,10.074,0.965,0.064,9.287
2019-01-05 09:00,2019-01-05 12:30,7.657,0.630,0.114,9.352
2019-01-05 10:00,2019-01-05 13:30,5.092,0.334,0.144,9.004
2019-01-05 11:00,2019-01-05 14:30,3.932,0.256,0.110,8.310
2019-01-05 12:00,2019-01-05 15:30,2.652,0.192,0.056,6.650
2019-01-05 13:00,2019-01-05 16:30,0.143,0.018,0.006,3.830
2019-01-05 14:00,2019-01-05 17:30,0,0,0,1.885
2019-01-05 15:00,2019-01-05 18:30,0,0,0,0.922
2019-01-05 16:00,2019-01-05 19:30,0,0,0,0.848
2019-01-05 17:00,2019-01-05 20:30,0,0,0,0.916
2019-01-05 18:00,2019-01-05 21:30,0,0,0,1.002
2019-01-05 19:00,2019-01-05 22:30,0,0,0,1.408
2019-01-05 20:00,2019-01-05 23:30,0,0,0,1.825
2019-01-05 21:00,2019-01-06 00:30,0,0,0,1.729
2019-01-05 22:00,2019-01-06 01:30,0,0,0,1.184
2019-01-05 23:00,2019-01-06 02:30,0,0,0,0.714
2019-01-06 00:00,2019-01-06 03:30,0,0,0,1.055
2019-01-06 01:00,2019-01-06 04:30,0,0,0,1.215
2019-01-06 02:00,2019-01-06 05:30,0,0,0,0.631
2019-01-06 03:00,2019-01-06 06:30,0,0.001,0.002,0.524
2019-01-06 04:00,2019-01-06 07:30,0.864,0.036,0.053,1.807
2019-01-06 05:00,2019-01-06 08:30,2.418,0.100,0.124,3.420
2019-01-06 06:00,2019-01-06 09:30,3.575,0.152,0.174,3.897
2019-01-06 07:00,2019-01-06 10:30,4.640,0.220,0.204,4.173
2019-01-06 08:00,2019-01-06 11:30,5.579,0.310,0.205,4.864
2019-01-06 09:00,2019-01-06 12:30,6.084,0.385,0.181,5.436
2019-01-06 10:00,2019-01-06 13:30,5.731,0.384,0.148,5.865
2019-01-06 11:00,2019-01-06 14:30,4.217,0.271,0.117,5.903
2019-01-06 12:00,2019-01-06 15:30,1.691,0.093,0.070,4.821
2019-01-06 13:00,2019-01-06 16:30,0.027,0.004,0.006,2.507
2019-01-06 14:00,2019-01-06 17:30,0,0,0,1.702
2019-01-06 15:00,2019-01-06 18:30,0,0,0,1.610
2019-01-06 16:00,2019-01-06 19:30,0,0,0,1.728
2019-01-06 17:00,2019-01-06 20:30,0,0,0,1.626
2019-01-06 18:00,2019-01-06 21:30,0,0,0,1.361
2019-01-06 19:00,2019-01-06 22:30,0,0,0,1.313
2019-01-06 20:00,2019-01-06 23:30,0,0,0,1.258
2019-01-06 21:00,2019-01-07 00:30,0,0,0,1.148
2019-01-06 22:00,2019-01-07 01:30,0,0,0,1.000
2019-01-06 23:00,2019-01-07 02:30,0,0,0,0.729
2019-01-07 00:00,2019-01-07 03:30,0,0,0,0.292
2019-01-07 01:00,2019-01-07 04:30,0,0,0,-0.120
2019-01-07 02:00,2019-01-07 05:30,0,0,0,-0.315
2019-01-07 03:00,2019-01-07 06:30,0,0.003,0.002,-0.408
2019-01-07 04:00,2019-01-07 07:30,2.496,0.180,0.048,0.655
2019-01-07 05:00,2019-01-07 08:30,5.562,0.440,0.069,3.160
2019-01-07 06:00,2019-01-07 09:30,8.197,0.719,0.065,4.609
2019-01-07 07:00,2019-01-07 10:30,9.180,0.828,0.072,5.664
2019-01-07 08:00,2019-01-07 11:30,9.310,0.838,0.080,6.260
2019-01-07 09:00,2019-01-07 12:30,8.580,0.747,0.088,6.494
2019-01-07 10:00,2019-01-07 13:30,7.866,0.678,0.076,6.355
2019-01-07 11:00,2019-01-07 14:30,5.670,0.453,0.073,5.661
2019-01-07 12:00,2019-01-07 15:30,2.888,0.214,0.052,4.239
2019-01-07 13:00,2019-01-07 16:30,0.110,0.014,0.006,0.554
2019-01-07 14:00,2019-01-07 17:30,0,0,0,-1.382
2019-01-07 15:00,2019-01-07 18:30,0,0,0,-2.165
2019-01-07 16:00,2019-01-07 19:30,0,0,0,-2.686
2019-01-07 17:00,2019-01-07 20:30,0,0,0,-3.208
2019-01-07 18:00,2019-01-07 21:30,0,0,0,-3.856
2019-01-07 19:00,2019-01-07 22:30,0,0,0,-4.396
2019-01-07 20:00,2019-01-07 23:30,0,0,0,-4.879
2019-01-07 21:00,2019-01-08 00:30,0,0,0,-5.162
2019-01-07 22:00,2019-01-08 01:30,0,0,0,-5.170
2019-01-07 23:00,2019-01-08 02:30,0,0,0,-5.016
2019-01-08 00:00,2019-01-08 03:30,0,0,0,-4.707
2019-01-08 01:00,2019-01-08 04:30,0,0,0,-4.296
2019-01-08 02:00,2019-01-08 05:30,0,0,0,-3.969
2019-01-08 03:00,2019-01-08 06:30,0.035,0.008,0.002,-3.786
2019-01-08 04:00,2019-01-08 07:30,4.216,0.345,0.029,-2.059
2019-01-08 05:00,2019-01-08 08:30,7.096,0.616,0.039,1.321
2019-01-08 06:00,2019-01-08 09:30,8.940,0.816,0.046,3.824
2019-01-08 07:00,2019-01-08 10:30,9.955,0.939,0.051,5.390
2019-01-08 08:00,2019-01-08 11:30,10.299,0.984,0.053,6.116
2019-01-08 09:00,2019-01-08 12:30,9.863,0.931,0.054,6.410
2019-01-08 10:00,2019-01-08 13:30,8.722,0.798,0.052,6.379
2019-01-08 11:00,2019-01-08 14:30,6.549,0.563,0.051,5.799
2019-01-08 12:00,2019-01-08 15:30,3.577,0.287,0.040,3.804
2019-01-08 13:00,2019-01-08 16:30,0.183,0.021,0.006,0.070
2019-01-08 14:00,2019-01-08 17:30,0,0,0,-1.699
2019-01-08 15:00,2019-01-08 18:30,0,0,0,-2.749
2019-01-08 16:00,2019-01-08 19:30,0,0,0,-3.423
2019-01-08 17:00,2019-01-08 20:30,0,0,0,-3.748
2019-01-08 18:00,2019-01-08 21:30,0,0,0,-3.892
2019-01-08 19:00,2019-01-08 22:30,0,0,0,-3.956
2019-01-08 20:00,2019-01-08 23:30,0,0,0,-3.892
2019-01-08 21:00,2019-01-09 00:30,0,0,0,-3.065
2019-01-08 22:00,2019-01-09 01:30,0,0,0,-2.829
2019-01-08 23:00,2019-01-09 02:30,0,0,0,-2.508
2019-01-09 00:00,2019-01-09 03:30,0,0,0,-2.283
2019-01-09 01:00,2019-01-09 04:30,0,0,0,-2.242
2019-01-09 02:00,2019-01-09 05:30,0,0,0,-2.383
2019-01-09 03:00,2019-01-09 06:30,0,0.002,0.002,-2.679
2019-01-09 04:00,2019-01-09 07:30,2.118,0.142,0.053,-1.341
2019-01-09 05:00,2019-01-09 08:30,5.179,0.391,0.079,1.899
2019-01-09 06:00,2019-01-09 09:30,7.765,0.656,0.076,3.616
2019-01-09 07:00,2019-01-09 10:30,9.181,0.820,0.074,4.564
2019-01-09 08:00,2019-01-09 11:30,9.656,0.879,0.073,5.108
2019-01-09 09:00,2019-01-09 12:30,9.425,0.857,0.070,5.442
2019-01-09 10:00,2019-01-09 13:30,8.322,0.737,0.065,5.746
2019-01-09 11:00,2019-01-09 14:30,6.356,0.535,0.059,5.881
2019-01-09 12:00,2019-01-09 15:30,3.154,0.241,0.049,4.965
2019-01-09 13:00,2019-01-09 16:30,0.105,0.013,0.007,2.448
2019-01-09 14:00,2019-01-09 17:30,0,0,0,1.446
2019-01-09 15:00,2019-01-09 18:30,0,0,0,0.497
2019-01-09 16:00,2019-01-09 19:30,0,0,0,-0.476
2019-01-09 17:00,2019-01-09 20:30,0,0,0,-1.348
2019-01-09 18:00,2019-01-09 21:30,0,0,0,-2.014
2019-01-09 19:00,2019-01-09 22:30,0,0,0,-2.659
2019-01-09 20:00,2019-01-09 23:30,0,0,0,-3.512
2019-01-09 21:00,2019-01-10 00:30,0,0,0,-4.294
2019-01-09 22:00,2019-01-10 01:30,0,0,0,-4.843
2019-01-09 23:00,2019-01-10 02:30,0,0,0,-5.127
2019-01-10 00:00,2019-01-10 03:30,0,0,0,-5.385
2019-01-10 01:00,2019-01-10 04:30,0,0,0,-5.737
2019-01-10 02:00,2019-01-10 05:30,0,0,0,-6.347
2019-01-10 03:00,2019-01-10 06:30,0.025,0.006,0.003,-7.003
2019-01-10 04:00,2019-01-10 07:30,3.798,0.297,0.036,-5.136
2019-01-10 05:00,2019-01-10 08:30,6.788,0.566,0.048,-1.839
2019-01-10 06:00,2019-01-10 09:30,8.711,0.767,0.055,0.592
2019-01-10 07:00,2019-01-10 10:30,9.758,0.887,0.060,2.019
2019-01-10 08:00,2019-01-10 11:30,10.041,0.922,0.063,2.809
2019-01-10 09:00,2019-01-10 12:30,9.748,0.892,0.061,3.252
2019-01-10 10:00,2019-01-10 13:30,8.692,0.776,0.057,3.355
2019-01-10 11:00,2019-01-10 14:30,6.823,0.584,0.049,2.995
2019-01-10 12:00,2019-01-10 15:30,3.831,0.307,0.038,1.544
2019-01-10 13:00,2019-01-10 16:30,0.197,0.022,0.007,-1.981
2019-01-10 14:00,2019-01-10 17:30,0,0,0,-3.267
2019-01-10 15:00,2019-01-10 18:30,0,0,0,-4.017
2019-01-10 16:00,2019-01-10 19:30,0,0,0,-4.947
2019-01-10 17:00,2019-01-10 20:30,0,0,0,-5.705
2019-01-10 18:00,2019-01-10 21:30,0,0,0,-6.209
2019-01-10 19:00,2019-01-10 22:30,0,0,0,-6.527
2019-01-10 20:00,2019-01-10 23:30,0,0,0,-6.725
2019-01-10 21:00,2019-01-11 00:30,0,0,0,-6.928
2019-01-10 22:00,2019-01-11 01:30,0,0,0,-6.977
2019-01-10 23:00,2019-01-11 02:30,0,0,0,-6.899
2019-01-11 00:00,2019-01-11 03:30,0,0,0,-6.487
2019-01-11 01:00,2019-01-11 04:30,0,0,0,-5.822
2019-01-11 02:00,2019-01-11 05:30,0,0,0,-5.601
2019-01-11 03:00,2019-01-11 06:30,0.027,0.007,0.003,-5.614
2019-01-11 04:00,2019-01-11 07:30,3.743,0.292,0.036,-4.597
2019-01-11 05:00,2019-01-11 08:30,6.979,0.586,0.045,-2.290
2019-01-11 06:00,2019-01-11 09:30,8.948,0.793,0.051,-0.245
2019-01-11 07:00,2019-01-11 10:30,10.054,0.925,0.055,1.477
2019-01-11 08:00,2019-01-11 11:30,10.405,0.972,0.056,2.649
2019-01-11 09:00,2019-01-11 12:30,10.007,0.929,0.056,3.370
2019-01-11 10:00,2019-01-11 13:30,8.896,0.804,0.052,3.501
2019-01-11 11:00,2019-01-11 14:30,6.938,0.598,0.047,3.172
2019-01-11 12:00,2019-01-11 15:30,3.898,0.315,0.037,1.900
2019-01-11 13:00,2019-01-11 16:30,0.220,0.025,0.007,-0.421
2019-01-11 14:00,2019-01-11 17:30,0,0,0,-2.037
2019-01-11 15:00,2019-01-11 18:30,0,0,0,-3.200
2019-01-11 16:00,2019-01-11 19:30,0,0,0,-3.450
2019-01-11 17:00,2019-01-11 20:30,0,0,0,-3.309
2019-01-11 18:00,2019-01-11 21:30,0,0,0,-3.379
2019-01-11 19:00,2019-01-11 22:30,0,0,0,-3.813
2019-01-11 20:00,2019-01-11 23:30,0,0,0,-4.345
2019-01-11 21:00,2019-01-12 00:30,0,0,0,-4.880
2019-01-11 22:00,2019-01-12 01:30,0,0,0,-5.316
2019-01-11 23:00,2019-01-12 02:30,0,0,0,-5.764
2019-01-12 00:00,2019-01-12 03:30,0,0,0,-6.168
2019-01-12 01:00,2019-01-12 04:30,0,0,0,-6.377
2019-01-12 02:00,2019-01-12 05:30,0,0,0,-6.546
2019-01-12 03:00,2019-01-12 06:30,0.032,0.007,0.003,-6.706
2019-01-12 04:00,2019-01-12 07:30,3.428,0.259,0.042,-5.122
2019-01-12 05:00,2019-01-12 08:30,5.862,0.459,0.066,-1.703
2019-01-12 06:00,2019-01-12 09:30,7.778,0.649,0.075,1.032
2019-01-12 07:00,2019-01-12 10:30,9.448,0.848,0.068,2.876
2019-01-12 08:00,2019-01-12 11:30,10.250,0.957,0.060,3.874
2019-01-12 09:00,2019-01-12 12:30,9.967,0.927,0.057,4.230
2019-01-12 10:00,2019-01-12 13:30,8.826,0.797,0.055,4.138
2019-01-12 11:00,2019-01-12 14:30,6.885,0.592,0.049,3.587
2019-01-12 12:00,2019-01-12 15:30,3.879,0.312,0.039,1.989
2019-01-12 13:00,2019-01-12 16:30,0.236,0.026,0.007,-1.604
2019-01-12 14:00,2019-01-12 17:30,0,0,0,-3.180
2019-01-12 15:00,2019-01-12 18:30,0,0,0,-3.025
2019-01-12 16:00,2019-01-12 19:30,0,0,0,-2.820
2019-01-12 17:00,2019-01-12 20:30,0,0,0,-2.992
2019-01-12 18:00,2019-01-12 21:30,0,0,0,-3.461
2019-01-12 19:00,2019-01-12 22:30,0,0,0,-3.857
2019-01-12 20:00,2019-01-12 23:30,0,0,0,-3.837
2019-01-12 21:00,2019-01-13 00:30,0,0,0,-3.565
2019-01-12 22:00,2019-01-13 01:30,0,0,0,-3.156
2019-01-12 23:00,2019-01-13 02:30,0,0,0,-2.864
2019-01-13 00:00,2019-01-13 03:30,0,0,0,-2.828
2019-01-13 01:00,2019-01-13 04:30,0,0,0,-3.102
2019-01-13 02:00,2019-01-13 05:30,0,0,0,-3.614
2019-01-13 03:00,2019-01-13 06:30,0.004,0.002,0.004,-3.775
2019-01-13 04:00,2019-01-13 07:30,0.702,0.023,0.052,-2.100
2019-01-13 05:00,2019-01-13 08:30,1.535,0.036,0.110,-0.175
2019-01-13 06:00,2019-01-13 09:30,4.376,0.222,0.175,2.564
2019-01-13 07:00,2019-01-13 10:30,7.996,0.630,0.131,4.507
2019-01-13 08:00,2019-01-13 11:30,8.766,0.733,0.119,5.829
2019-01-13 09:00,2019-01-13 12:30,7.069,0.509,0.159,5.982
2019-01-13 10:00,2019-01-13 13:30,4.513,0.237,0.178,5.540
2019-01-13 11:00,2019-01-13 14:30,3.023,0.141,0.138,5.115
2019-01-13 12:00,2019-01-13 15:30,1.525,0.070,0.078,4.237
2019-01-13 13:00,2019-01-13 16:30,0,0,0.002,2.507
2019-01-13 14:00,2019-01-13 17:30,0,0,0,1.774
2019-01-13 15:00,2019-01-13 18:30,0,0,0,1.541
2019-01-13 16:00,2019-01-13 19:30,0,0,0,1.652
2019-01-13 17:00,2019-01-13 20:30,0,0,0,1.685
2019-01-13 18:00,2019-01-13 21:30,0,0,0,1.675
2019-01-13 19:00,2019-01-13 22:30,0,0,0,1.540
2019-01-13 20:00,2019-01-13 23:30,0,0,0,1.526
2019-01-13 21:00,2019-01-14 00:30,0,0,0,1.588
2019-01-13 22:00,2019-01-14 01:30,0,0,0,2.107
2019-01-13 23:00,2019-01-14 02:30,0,0,0,2.254
2019-01-14 00:00,2019-01-14 03:30,0,0,0,1.682
2019-01-14 01:00,2019-01-14 04:30,0,0,0,1.073
2019-01-14 02:00,2019-01-14 05:30,0,0,0,0.948
2019-01-14 03:00,2019-01-14 06:30,0,0,0.001,0.894
2019-01-14 04:00,2019-01-14 07:30,0.211,0.003,0.028,1.302
2019-01-14 05:00,2019-01-14 08:30,0.841,0.009,0.080,2.409
2019-01-14 06:00,2019-01-14 09:30,1.434,0.015,0.124,3.262
2019-01-14 07:00,2019-01-14 10:30,2.715,0.054,0.197,4.108
2019-01-14 08:00,2019-01-14 11:30,5.535,0.286,0.226,5.470
2019-01-14 09:00,2019-01-14 12:30,7.615,0.574,0.155,6.867
2019-01-14 10:00,2019-01-14 13:30,6.415,0.462,0.144,7.674
2019-01-14 11:00,2019-01-14 14:30,3.883,0.226,0.134,7.558
2019-01-14 12:00,2019-01-14 15:30,1.507,0.069,0.079,6.295
2019-01-14 13:00,2019-01-14 16:30,0.029,0.003,0.007,4.024
2019-01-14 14:00,2019-01-14 17:30,0,0,0,3.231
2019-01-14 15:00,2019-01-14 18:30,0,0,0,3.015
2019-01-14 16:00,2019-01-14 19:30,0,0,0,2.593
2019-01-14 17:00,2019-01-14 20:30,0,0,0,2.008
2019-01-14 18:00,2019-01-14 21:30,0,0,0,1.380
2019-01-14 19:00,2019-01-14 22:30,0,0,0,0.671
2019-01-14 20:00,2019-01-14 23:30,0,0,0,-0.039
2019-01-14 21:00,2019-01-15 00:30,0,0,0,-0.626
2019-01-14 22:00,2019-01-15 01:30,0,0,0,-1.249
2019-01-14 23:00,2019-01-15 02:30,0,0,0,-1.987
2019-01-15 00:00,2019-01-15 03:30,0,0,0,-2.615
2019-01-15 01:00,2019-01-15 04:30,0,0,0,-2.709
2019-01-15 02:00,2019-01-15 05:30,0,0,0,-2.337
2019-01-15 03:00,2019-01-15 06:30,0.052,0.009,0.004,-2.146
2019-01-15 04:00,2019-01-15 07:30,3.889,0.310,0.037,-0.721
2019-01-15 05:00,2019-01-15 08:30,6.749,0.573,0.049,2.057
2019-01-15 06:00,2019-01-15 09:30,8.627,0.773,0.056,4.118
2019-01-15 07:00,2019-01-15 10:30,9.707,0.898,0.061,5.187
2019-01-15 08:00,2019-01-15 11:30,9.995,0.933,0.064,5.811
2019-01-15 09:00,2019-01-15 12:30,9.596,0.888,0.064,6.281
2019-01-15 10:00,2019-01-15 13:30,8.479,0.763,0.061,6.598
2019-01-15 11:00,2019-01-15 14:30,6.572,0.564,0.054,6.541
2019-01-15 12:00,2019-01-15 15:30,3.590,0.286,0.044,5.107
2019-01-15 13:00,2019-01-15 16:30,0.218,0.023,0.008,1.529
2019-01-15 14:00,2019-01-15 17:30,0,0,0,0.445
2019-01-15 15:00,2019-01-15 18:30,0,0,0,-0.254
2019-01-15 16:00,2019-01-15 19:30,0,0,0,-0.909
2019-01-15 17:00,2019-01-15 20:30,0,0,0,-1.359
2019-01-15 18:00,2019-01-15 21:30,0,0,0,-1.631
2019-01-15 19:00,2019-01-15 22:30,0,0,0,-1.685
2019-01-15 20:00,2019-01-15 23:30,0,0,0,-1.593
2019-01-15 21:00,2019-01-16 00:30,0,0,0,-1.282
2019-01-15 22:00,2019-01-16 01:30,0,0,0,-1.067
2019-01-15 23:00,2019-01-16 02:30,0,0,0,-1.182
2019-01-16 00:00,2019-01-16 03:30,0,0,0,-1.498
2019-01-16 01:00,2019-01-16 04:30,0,0,0,-1.908
2019-01-16 02:00,2019-01-16 05:30,0,0,0,-2.235
2019-01-16 03:00,2019-01-16 06:30,0.041,0.007,0.004,-2.315
2019-01-16 04:00,2019-01-16 07:30,3.606,0.279,0.043,-0.759
2019-01-16 05:00,2019-01-16 08:30,6.543,0.551,0.056,3.592
2019-01-16 06:00,2019-01-16 09:30,8.371,0.747,0.063,6.376
2019-01-16 07:00,2019-01-16 10:30,9.488,0.879,0.067,7.648
2019-01-16 08:00,2019-01-16 11:30,9.764,0.914,0.071,8.447
2019-01-16 09:00,2019-01-16 12:30,9.198,0.844,0.075,9.062
2019-01-16 10:00,2019-01-16 13:30,7.715,0.668,0.082,9.326
2019-01-16 11:00,2019-01-16 14:30,4.859,0.360,0.096,9.183
2019-01-16 12:00,2019-01-16 15:30,1.917,0.114,0.071,7.828
2019-01-16 13:00,2019-01-16 16:30,0.036,0.004,0.007,5.203
2019-01-16 14:00,2019-01-16 17:30,0,0,0,4.072
2019-01-16 15:00,2019-01-16 18:30,0,0,0,3.436
2019-01-16 16:00,2019-01-16 19:30,0,0,0,2.927
2019-01-16 17:00,2019-01-16 20:30,0,0,0,2.710
2019-01-16 18:00,2019-01-16 21:30,0,0,0,2.589
2019-01-16 19:00,2019-01-16 22:30,0,0,0,2.333
2019-01-16 20:00,2019-01-16 23:30,0,0,0,2.201
2019-01-16 21:00,2019-01-17 00:30,0,0,0,2.546
2019-01-16 22:00,2019-01-17 01:30,0,0,0,2.658
2019-01-16 23:00,2019-01-17 02:30,0,0,0,2.377
2019-01-17 00:00,2019-01-17 03:30,0,0,0,2.139
2019-01-17 01:00,2019-01-17 04:30,0,0,0,1.905
